property_id,property_name,intended_use,district_key,district_name,property_address,postal_code,postal_area,grossarea,totalgrossarea,volume,totalfloorarea,year_built,year_renovated,floorcount,attic_floorcount,keyfield
633101,Kulttuuritalo Valve,369 Muut kokoontumisrakennukset,01,Keskusta,Ojakatu 4,90100,OULU,4936.0,5519.0,23510.0,4187.0,1860,2004,3,0,503259
633604,"Ruskon aluetukikohta, sosiaalitilat ja toimisto",151 Toimistorakennukset,15,Korvensuora,Kiilletie 7,90620,OULU,828.0,965.0,3274.0,680.0,1988,0,1,0,503260
633606,"Ruskon aluetukikohta, konehalli",162 Kulkuneuvojen suoja- ja huoltorakennukset,15,Korvensuora,Kiilletie 7,90620,OULU,1075.0,1125.0,6898.0,1125.0,1988,0,2,0,503261
633608,"Ruskon aluetukikohta, varasto",719 Muut varastorakennukset,15,Korvensuora,Kiilletie 7,90620,OULU,615.0,650.0,3730.0,650.0,1994,0,1,0,503262
633699,"Ruskon aluetukikohta, kaarihalli, kylmä",162 Kulkuneuvojen suoja- ja huoltorakennukset,15,Korvensuora,Kiilletie 7,90620,OULU,550.0,589.0,3583.0,589.0,1988,0,1,0,503263
610810,Mäntylän päiväkoti,231 Lasten päiväkodit,02,Höyhtyä,Snellmanintie  2,90150,OULU,631.0,726.0,2228.0,660.0,1956,2007,2,0,503264
634601,Lasten Liikennepuisto,719 Muut varastorakennukset,01,Keskusta,Rantakatu 19,90100,OULU,18.0,72.0,190.0,72.0,1970,2018,1,0,503265
634801,Taidemuseo,323 Museot ja taidegalleriat,01,Keskusta,Kasarmintie 7,90130,OULU,3431.0,4030.0,19104.0,3686.0,1880,2008,3,0,503266
635401,"Toimisto- ja varastorakennus, Sälpätie 1",719 Muut varastorakennukset,15,Korvensuora,Sälpätie 1,90620,OULU,113.0,131.0,525.0,131.0,1950,0,1,0,503267
635501,Pohjois-Pohjanmaan museon varasto,719 Muut varastorakennukset,15,Korvensuora,Konetie 33,90620,OULU,2256.0,2472.0,13090.0,2472.0,1986,0,2,0,503268
636701,Aleksinkulma,"331 Seura- ja kerhorakennukset, nuorisotalot",01,Keskusta,Hallituskatu 6,90100,OULU,1625.0,1818.0,6433.0,1422.0,1880,1998,2,0,503269
636801,Tuiran uimala,359 Muut urheilu- ja kuntoilurakennukset,08,Tuira,Koskitie 58,90500,OULU,201.0,234.0,703.0,234.0,1984,0,1,0,503270
636901,"Työmaatukikohta, Poratie 11",162 Kulkuneuvojen suoja- ja huoltorakennukset,02,Höyhtyä,Poratie 11,90150,OULU,883.0,923.0,5780.0,923.0,1980,0,1,0,503271
640301,"Tietomaa, hallintokeskus",151 Toimistorakennukset,01,Keskusta,Nahkatehtaankatu 6,90130,OULU,2863.0,3560.0,13534.0,3560.0,1923,1998,4,0,503272
640302,"Tietomaa, tiedeteatteri",369 Muut kokoontumisrakennukset,01,Keskusta,Makasiinikatu 5,90130,OULU,763.0,939.0,5306.0,659.0,1988,0,2,0,503273
640401,Värtön liikuntahalli,354 Monitoimihallit ja muut urheiluhallit,03,Oulunsuu,Kurkelantie 7,90230,OULU,2586.0,2775.0,15422.0,2750.0,1970,2002,1,0,503274
644801,Matilan talo,323 Museot ja taidegalleriat,08,Tuira,Pikisaarentie 6,90100,OULU,91.0,107.0,482.0,107.0,1740,2018,1,0,503275
645201,"Makasiini, Sokeri-Jussi  ","141 Ravintolat, ruokalat, baarit, yms.",08,Tuira,Pikisaarentie 2,90100,OULU,242.0,242.0,780.0,242.0,1892,0,2,0,503276
660901,Meri-Toppilan päiväkoti ja nuorisotalo,231 Lasten päiväkodit,10,Koskela,Kuivaamokatu 6,90520,OULU,960.0,1175.0,4400.0,1175.0,1936,1998,2,0,503277
688201,Otokylän päiväkoti,231 Lasten päiväkodit,02,Höyhtyä,Hanhitie 17,90150,OULU,627.0,672.0,2218.0,672.0,1980,2011,1,0,503278
604001,"Tuiran hyvinvointikeskus, Kangastie 16",214 Terveyskeskukset,08,Tuira,Kangastie 16,90500,OULU,7049.0,8350.0,30300.0,7240.0,1998,2019,4,0,503279
608001,Oulunlahden päiväkoti ja koulu,231 Lasten päiväkodit,06,Kaakkuri,Santerinkuja 4,90410,OULU,1372.0,1562.0,6500.0,1545.0,1998,2012,1,0,503280
616201,Onnela; vapautuu 1.4.2019,222 Lasten- ja koulukodit,07,Maikkula,Onnelantie 6,90230,OULU,695.0,827.5,2717.0,827.5,1968,2011,1,0,503281
626701,Pateniemen sahamuseo,323 Museot ja taidegalleriat,11,Pateniemi,Sahantie 21,90800,OULU,288.0,310.0,1405.0,310.0,1920,1989,3,0,503282
618801,Pesäpallostadion,359 Muut urheilu- ja kuntoilurakennukset,01,Keskusta,Raksilan urheilualue,90130,OULU,836.0,1142.0,3300.0,1142.0,1997,0,2,0,503283
653801,"Koivuranta, päärakennus",041 Vapaa-ajan asuinrakennukset,08,Tuira,Pukseritie 7,90510,OULU,131.0,154.0,456.0,154.0,1916,2003,0,0,503284
645701,Vanha villatehdas,999 Muualla luokittelemattomat rakennukset,08,Tuira,Pikisaarentie 17,90100,OULU,1876.0,2145.0,8593.0,2145.0,1977,1998,4,0,503285
645702,"Vanha villatehdas, rak. 2",999 Muualla luokittelemattomat rakennukset,08,Tuira,Pikisaarentie 17,90100,OULU,0.0,222.0,1704.0,222.0,1898,0,1,0,503286
660902,"Meri-Toppilan päiväkoti, VSS",231 Lasten päiväkodit,10,Koskela,Kuivaamokatu 6,90520,OULU,38.0,40.0,140.0,40.0,1998,0,0,0,503287
629002,"Oulun jäähalli, huoltorakennus",162 Kulkuneuvojen suoja- ja huoltorakennukset,01,Keskusta,Teuvo Pakkalan katu 11,90130,OULU,583.0,614.0,3099.0,614.0,1997,0,0,0,503288
608002,"Oulunlahden päiväkoti ja koulu, varasto",231 Lasten päiväkodit,06,Kaakkuri,Santerinkuja 4,90410,OULU,31.0,37.0,113.0,37.0,1998,0,0,0,503289
632701,Kauppatorin huoltoaitta nro 6 ,719 Muut varastorakennukset,01,Keskusta,Kauppatori,90100,OULU,121.0,161.0,367.0,161.0,1998,0,0,0,503290
617301,Kasarmi H10 Kuntotalo,359 Muut urheilu- ja kuntoilurakennukset,01,Keskusta,Upseerinkatu 4,90130,OULU,1218.0,1326.0,7820.0,1332.0,1997,2003,0,0,503291
617401,"Pop-jazz -tilat (Kasarmi H11, päällystökerho)",511 Yleissivistävien oppilaitosten rakennukset,01,Keskusta,Upseerinkatu 8,90130,OULU,453.0,535.0,2140.0,535.0,1881,2010,0,0,503292
616401,Nappi,151 Toimistorakennukset,01,Keskusta,Hallituskatu 5,90100,OULU,431.0,490.0,1798.0,350.0,1884,1999,0,0,503293
620503,Oulunlahden koulu,511 Yleissivistävien oppilaitosten rakennukset,06,Kaakkuri,Fiskarintie 2,90410,OULU,383.0,456.0,1338.0,304.0,1950,1978,2,0,503294
628705,"Koppanan leirikeskus, wc",041 Vapaa-ajan asuinrakennukset,40,Oulunsalo,Nenännokka 83,90470,VARJAKKA,4.0,6.0,19.0,6.0,2006,0,0,0,503295
630802,"Poratie 8, hiekkahalli",719 Muut varastorakennukset,02,Höyhtyä,Poratie 8,90150,OULU,762.0,806.0,4513.0,778.0,1992,0,0,0,503296
625102,"Merikosken koulu, lisärakennus",511 Yleissivistävien oppilaitosten rakennukset,08,Tuira,Itäkangastie 9,90500,OULU,960.0,1038.0,4080.0,1038.0,1999,0,0,0,503297
620106,"Kajaanintullin koulu, lisärakennus",511 Yleissivistävien oppilaitosten rakennukset,01,Keskusta,Asemakatu 35,90100,OULU,637.0,737.0,2744.0,737.0,2000,0,0,0,503298
622507,"Pateniemen alakoulu, liikuntarakennus",511 Yleissivistävien oppilaitosten rakennukset,11,Pateniemi,Risuniityntie 7,90800,OULU,929.0,1107.0,5510.0,1107.0,2000,0,1,0,503299
608317,Lassin päiväkoti,231 Lasten päiväkodit,08,Tuira,Koskitie 23,90500,OULU,690.5,620.0,2664.0,595.0,1898,2000,0,0,503300
619001,Linnanmaan harjoitusjäähalli,351 Jäähallit,12,Kaijonharju,Kauppalinnankatu 6,90570,OULU,5129.0,5341.0,39300.0,5341.0,2000,0,0,0,503301
607901,Koskelan päiväkoti,231 Lasten päiväkodit,10,Koskela,Tuulaakitie 3,90560,OULU,1003.0,1115.0,4250.0,1115.0,2001,0,1,0,503302
607801,Saarelan päiväkoti,231 Lasten päiväkodit,17,Hiukkavaara,Poolakuja 1,90650,OULU,1623.0,1873.0,7896.0,1873.0,2001,0,0,0,503303
620604,"Kuivasojan koulu, liikuntasali",511 Yleissivistävien oppilaitosten rakennukset,11,Pateniemi,Pateniementie 2,90800,OULU,428.0,471.0,2280.0,415.0,2001,0,0,0,503304
603301,"Tuiran neuvola (Hermola), Tuirantie 5",214 Terveyskeskukset,08,Tuira,Tuirantie 5,90500,OULU,701.0,812.0,3466.0,708.0,1920,2002,2,0,503305
623601,Oulu International School / Oulun kansainvälinen koulu,511 Yleissivistävien oppilaitosten rakennukset,01,Keskusta,Kasarmintie 4,90130,OULU,9384.0,10971.0,40080.0,9966.0,1961,2006,3,0,503306
603201,"Tuiran mielenterveyskeskus, Tuirantie 7",214 Muut terveydenhuoltorakennukset,08,Tuira,Tuirantie 7,90500,OULU,1534.0,2007.0,6310.0,1745.0,1925,2002,2,0,503307
612201,Piilikujan ryhmäperhepäiväkoti,231 Lasten päiväkodit,06,Kaakkuri,Nuolikuja 4,90410,OULU,129.0,151.0,450.0,151.0,1992,0,1,0,503308
